Survived,SibSp,Parch,Fare,Sex_female,Sex_male,Pclass_C,Pclass_Q,Pclass_S,Pclass_U,Pclass_1,Pclass_2,Pclass_3,"Categorized_age_(0, 10]","Categorized_age_(10, 20]","Categorized_age_(20, 30]","Categorized_age_(30, 40]","Categorized_age_(40, 50]","Categorized_age_(50, 60]","Categorized_age_(60, 70]","Categorized_age_(70, 80]"
0,1,0,7.25,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1,1,0,71.2833,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,0,0,7.925,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1,1,0,53.1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
0,0,0,8.05,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0,8.4583,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,51.8625,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
0,3,1,21.075,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
1,0,2,11.1333,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1,1,0,30.0708,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,1,1,16.7,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
1,0,0,26.55,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0,8.05,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
0,1,5,31.275,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0,7.8542,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
1,0,0,16.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
0,4,1,29.125,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1,0,0,13.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
0,1,0,18.0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
1,0,0,7.225,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,26.0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1,0,0,13.0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
1,0,0,8.0292,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
1,0,0,35.5,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
0,3,1,21.075,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
1,1,5,31.3875,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0,7.225,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,3,2,263.0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
1,0,0,7.8792,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,7.8958,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,27.7208,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,1,0,146.5208,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,0,0,7.75,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,10.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
0,1,0,82.1708,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0,1,0,52.0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1,0,0,7.2292,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,8.05,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,2,0,18.0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
1,1,0,11.2417,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,1,0,9.475,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0,1,0,21.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
0,0,0,7.8958,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,1,2,41.5792,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1,0,0,7.8792,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
0,0,0,8.05,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,1,0,15.5,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
1,0,0,7.75,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
0,2,0,21.6792,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,1,0,17.8,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
0,4,1,39.6875,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
0,0,0,7.8,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1,1,0,76.7292,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,1,0,26.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
0,0,1,61.9792,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,0,0,35.5,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1,0,0,10.5,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
0,0,0,7.2292,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,1,2,27.75,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
0,5,2,46.9,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
0,0,0,7.2292,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,0,0,80.0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
0,1,0,83.475,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
0,3,2,27.9,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
0,0,0,27.7208,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,1,1,15.2458,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,0,0,10.5,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
0,0,0,8.1583,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
1,4,2,7.925,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
0,2,0,8.6625,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,10.5,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
0,5,2,46.9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
0,0,0,73.5,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
0,1,0,14.4542,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,0,0,56.4958,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0,7.65,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,7.8958,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,8.05,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1,0,2,29.0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
1,0,0,12.475,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,9.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1,0,0,9.5,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1,0,0,7.7875,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,47.1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1,0,0,10.5,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1,3,0,15.85,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0,1,3,34.375,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
0,0,0,8.05,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1,3,2,263.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
0,0,0,8.05,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,8.05,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,7.8542,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
0,1,0,61.175,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
0,1,2,20.575,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,7.25,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
0,0,0,8.05,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,34.6542,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,1,63.3583,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,0,1,23.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
0,1,0,26.0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0,7.8958,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,7.8958,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,1,77.2875,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
0,0,0,8.6542,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0,2,0,7.925,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0,7.8958,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1,0,0,7.65,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1,0,0,7.775,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,7.8958,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
1,1,0,24.15,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,52.0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
0,1,0,14.4542,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,0,0,8.05,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,1,0,9.825,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
0,0,0,14.4583,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,0,0,7.925,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,7.75,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
0,1,0,21.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
0,0,1,247.5208,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0,4,2,31.275,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
0,2,0,73.5,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
0,0,0,8.05,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,1,0,30.0708,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,0,0,13.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
0,0,1,77.2875,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
1,1,0,11.2417,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,0,0,7.75,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
1,0,0,7.1417,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1,1,1,22.3583,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,6.975,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,7.8958,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0,7.05,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
0,1,0,14.5,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
1,1,0,26.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
0,0,0,13.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
0,0,0,15.0458,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,0,2,26.2833,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
0,1,0,53.1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
0,0,0,9.2167,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
0,0,0,79.2,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0,0,2,15.2458,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,0,0,7.75,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1,1,0,15.85,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,6.75,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
0,0,0,11.5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
0,1,1,36.75,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1,0,0,7.7958,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,2,2,34.375,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
0,0,2,26.0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0,13.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,12.525,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
1,1,0,66.6,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
0,0,0,8.05,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
0,0,2,14.5,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,7.3125,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,1,61.3792,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,0,0,7.7333,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
0,0,0,8.05,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,8.6625,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,8,2,69.55,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,1,16.1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
1,0,0,15.75,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0,7.775,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,8.6625,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
0,4,1,39.6875,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
1,0,2,20.525,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
1,0,1,55.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
0,1,4,27.9,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,25.925,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
0,0,0,56.4958,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,33.5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
0,4,1,29.125,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1,1,1,11.1333,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
0,0,0,7.925,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,30.6958,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,1,1,7.8542,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
0,3,1,25.4667,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,28.7125,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,13.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
0,0,0,0.0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0,8,2,69.55,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,15.05,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,4,2,31.3875,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
1,2,1,39.0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
1,0,2,22.025,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
0,0,0,50.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1,1,0,15.5,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
1,0,0,26.55,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
0,1,1,15.5,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0,7.8958,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
1,0,0,13.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0,13.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1,1,0,7.8542,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
1,1,1,26.0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
1,0,0,27.7208,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,0,0,146.5208,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0,7.75,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,1,8.4042,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
1,0,0,7.75,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,13.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
0,0,0,9.5,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,8,2,69.55,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,6.4958,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0,7.225,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,0,0,8.05,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
0,0,1,10.4625,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
0,1,0,15.85,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
1,0,0,18.7875,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,0,0,7.75,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
1,0,0,31.0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,0,0,7.05,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1,0,0,21.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0,7.25,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,13.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
0,1,0,7.75,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
1,1,0,113.275,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,0,0,7.925,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,1,0,27.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
1,0,0,76.2917,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,0,0,10.5,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1,0,0,8.05,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
0,0,0,13.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
0,0,0,8.05,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
0,0,0,7.8958,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1,1,0,90.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
0,0,0,9.35,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1,0,0,10.5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
0,0,0,7.25,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,13.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
0,3,1,25.4667,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1,1,0,83.475,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
0,0,0,7.775,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,13.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
1,4,2,31.3875,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
0,0,0,10.5,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
0,0,0,7.55,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,1,0,26.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
1,0,2,26.25,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
0,0,0,10.5,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
0,0,0,12.275,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
0,1,0,14.4542,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,1,0,15.5,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,10.5,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
0,0,0,7.125,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,7.225,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,2,0,90.0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,7.775,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1,0,2,14.5,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1,1,1,52.5542,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
0,1,0,26.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
0,0,0,7.25,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,1,1,10.4625,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,26.55,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
0,1,0,16.1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,2,20.2125,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
1,0,2,15.2458,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,0,0,79.2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,0,0,86.5,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1,0,0,512.3292,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,0,1,26.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,7.75,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
1,4,2,31.3875,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
0,1,1,79.65,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0,0.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
0,0,0,7.75,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,10.5,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
0,4,1,39.6875,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
1,1,0,7.775,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1,0,1,153.4625,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
1,0,0,135.6333,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
0,0,0,31.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1,0,0,0.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1,0,1,19.5,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
0,0,1,29.7,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,0,0,7.75,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
1,1,0,77.9583,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
0,0,0,7.75,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
0,4,1,29.125,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1,1,1,20.25,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0,7.75,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0,7.8542,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,9.5,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
1,0,0,8.05,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
0,0,0,26.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
0,0,0,8.6625,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,0,0,9.5,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,7.8958,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1,0,0,13.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
1,0,0,7.75,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
1,0,0,78.85,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1,1,0,91.0792,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
